"Estado","Óbitos"
"Rondônia",580
"Acre",343
"Amazonas",2060
"Roraima",206
"Pará",3858
"Amapá",533
"Tocantins",526
"Maranhão",2865
"Piauí",1022
"Ceará",6400
"Rio Grande do Norte",2244
"Paraíba",1863
"Pernambuco",5856
"Alagoas",1597
"Sergipe",1487
"Bahia",10372
"Minas Gerais",3280
"Espírito Santo",1842
"Rio de Janeiro",5744
"São Paulo",3384
"Paraná",2784
"Santa Catarina",762
"Rio Grande do Sul",2915
"Mato Grosso do Sul",484
"Mato Grosso",1150
"Goiás",2430
"Distrito Federal",446
