"Estado",2020,2021
"Acre",12931,15778
"Alagoas",16239,18245
"Amapá",5502,6076
"Amazonas",10217,11805
"Bahia",41416,48471
"Ceará",21504,25316
"Distrito Federal",232859,243806
"Espírito Santo",29227,41106
"Goiás",53551,64137
"Maranhão",17029,22119
"Mato Grosso",35942,52380
"Mato Grosso do Sul",19177,24645
"Minas Gerais",109507,142662
"Pará",25908,35483
"Paraíba",16552,19345
"Paraná",73463,90218
"Pernambuco",28198,34394
"Piauí",11368,13801
"Rio de Janeiro",53161,66969
"Rio Grande do Norte",16169,19282
"Rio Grande do Sul",118515,145115
"Rondônia",21518,29821
"Roraima",4366,5679
"Santa Catarina",78007,95282
"São Paulo",162967,194331
"Sergipe",8644,11287
"Tocantins",9808,12770
