"Categoria CID10","Óbitos_p/Ocorrênc"
"W33 - Rifle, espingarda e armas de fogo de maior tamanho",767
"W34 - Projéteis de outras armas de fogo e das não especificadas - residência",6386
"X72 - Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão",7070
"X74 - Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada",21587
"X93 - Agressão por meio de disparo de arma de fogo de mão",69913
"X94 - Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre",6378
"X95 - Agressão por meio de disparo de outra arma de fogo ou de arma não especificada",836790
"Y23 - Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada",261
"Y24 - Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada",36493
"Total",985645
