"Unidade da Federação","Óbitos_p/Ocorrência"
"Rondônia",1516
"Acre",1253
"Amazonas",4965
"Roraima",567
"Pará",13053
"Amapá",1182
"Tocantins",1401
"Maranhão",6657
"Piauí",2144
"Ceará",17200
"Rio Grande do Norte",6986
"Paraíba",4614
"Pernambuco",16428
"Alagoas",5191
"Sergipe",4325
"Bahia",25332
"Minas Gerais",10443
"Espírito Santo",4738
"Rio de Janeiro",16741
"São Paulo",9561
"Paraná",7329
"Santa Catarina",2275
"Rio Grande do Sul",9165
"Mato Grosso do Sul",1279
"Mato Grosso",2893
"Goiás",7851
"Distrito Federal",1458
"Total",186547
