"Estado","Óbitos"
"Rondônia",268
"Acre",120
"Amazonas",255
"Roraima",46
"Pará",586
"Amapá",45
"Tocantins",258
"Maranhão",504
"Piauí",436
"Ceará",749
"Rio Grande do Norte",327
"Paraíba",279
"Pernambuco",898
"Alagoas",161
"Sergipe",187
"Bahia",872
"Minas Gerais",2683
"Espírito Santo",447
"Rio de Janeiro",1335
"São Paulo",5499
"Paraná",2480
"Santa Catarina",1449
"Rio Grande do Sul",5544
"Mato Grosso do Sul",724
"Mato Grosso",724
"Goiás",1233
"Distrito Federal",548
"Total",28657
