"Estado","Óbitos"
"Rondônia",8520
"Acre",2677
"Amazonas",14488
"Roraima",1459
"Pará",42910
"Amapá",2971
"Tocantins",4009
"Maranhão",20734
"Piauí",6362
"Ceará",49949
"Rio Grande do Norte",18334
"Paraíba",20105
"Pernambuco",83699
"Alagoas",29386
"Sergipe",14143
"Bahia",83262
"Minas Gerais",60729
"Espírito Santo",29926
"Rio de Janeiro",123186
"São Paulo",128083
"Paraná",46064
"Santa Catarina",10391
"Rio Grande do Sul",41462
"Mato Grosso do Sul",9399
"Mato Grosso",15339
"Goiás",31637
"Distrito Federal",13857
